3 27 27 53 70 80
/home/lperez/instances/tsp/testing-2000//2000-1.tsp 32622911 32593202 32593202 32663311 32659513 32688453
/home/lperez/instances/tsp/testing-2000//2000-10.tsp 32730065 32712775 32712775 32603927 32577306 32605778
/home/lperez/instances/tsp/testing-2000//2000-101.tsp 32808857 32731490 32731490 32649095 32741573 32726289
/home/lperez/instances/tsp/testing-2000//2000-102.tsp 32606466 32520677 32520677 32466595 32513535 32503179
/home/lperez/instances/tsp/testing-2000//2000-103.tsp 33036585 32869676 32869676 32967823 32979330 32916413
/home/lperez/instances/tsp/testing-2000//2000-104.tsp 32704594 32624206 32624206 32648673 32625725 32640558
/home/lperez/instances/tsp/testing-2000//2000-105.tsp 32648680 32652181 32652181 32616933 32637780 32651405
/home/lperez/instances/tsp/testing-2000//2000-106.tsp 32579235 32441580 32441580 32504908 32534962 32519654
/home/lperez/instances/tsp/testing-2000//2000-107.tsp 32811390 32818739 32818739 32775918 32845063 32775811
/home/lperez/instances/tsp/testing-2000//2000-108.tsp 32840228 32717696 32717696 32808321 32720966 32707730
/home/lperez/instances/tsp/testing-2000//2000-109.tsp 32830876 32751232 32751232 32817109 32759384 32789148
/home/lperez/instances/tsp/testing-2000//2000-11.tsp 32881607 32689937 32689937 32695901 32676188 32640190
/home/lperez/instances/tsp/testing-2000//2000-110.tsp 32515117 32563697 32563697 32614363 32550437 32504166
/home/lperez/instances/tsp/testing-2000//2000-111.tsp 32652105 32532382 32532382 32667387 32609230 32589701
/home/lperez/instances/tsp/testing-2000//2000-112.tsp 33056603 32891823 32891823 32957041 32873418 32960203
/home/lperez/instances/tsp/testing-2000//2000-113.tsp 32888570 32664073 32664073 32816580 32659387 32712835
/home/lperez/instances/tsp/testing-2000//2000-114.tsp 32805100 32744461 32744461 32819309 32857923 32753110
/home/lperez/instances/tsp/testing-2000//2000-115.tsp 32487281 32409232 32409232 32323275 32416584 32306085
/home/lperez/instances/tsp/testing-2000//2000-116.tsp 32730242 32579926 32579926 32589946 32558361 32625470
/home/lperez/instances/tsp/testing-2000//2000-117.tsp 32558078 32382074 32382074 32480735 32489816 32419976
/home/lperez/instances/tsp/testing-2000//2000-118.tsp 32732750 32687384 32687384 32680382 32677327 32674056
/home/lperez/instances/tsp/testing-2000//2000-119.tsp 32793422 32546166 32546166 32609106 32569447 32568906
/home/lperez/instances/tsp/testing-2000//2000-12.tsp 32579185 32509339 32509339 32668609 32457939 32432869
/home/lperez/instances/tsp/testing-2000//2000-120.tsp 32718561 32539077 32539077 32682020 32708226 32522654
/home/lperez/instances/tsp/testing-2000//2000-13.tsp 32767883 32674059 32674059 32565395 32656419 32620850
/home/lperez/instances/tsp/testing-2000//2000-14.tsp 32960317 32839865 32839865 32892468 32936824 32851093
/home/lperez/instances/tsp/testing-2000//2000-15.tsp 32786015 32766553 32766553 32786574 32737270 32747782
/home/lperez/instances/tsp/testing-2000//2000-16.tsp 32972043 32888783 32888783 32924078 32933712 32939127
/home/lperez/instances/tsp/testing-2000//2000-17.tsp 32523727 32451659 32451659 32494505 32472733 32504480
/home/lperez/instances/tsp/testing-2000//2000-18.tsp 32723355 32692404 32692404 32681739 32754492 32744872
/home/lperez/instances/tsp/testing-2000//2000-19.tsp 32714299 32601904 32601904 32624202 32587556 32646134
/home/lperez/instances/tsp/testing-2000//2000-2.tsp 32821486 32660770 32660770 32731958 32638982 32645763
/home/lperez/instances/tsp/testing-2000//2000-20.tsp 32990125 32893504 32893504 32967837 32972805 32867948
/home/lperez/instances/tsp/testing-2000//2000-201.tsp 32776431 32688554 32688554 32778415 32807572 32705192
/home/lperez/instances/tsp/testing-2000//2000-202.tsp 32556957 32440545 32440545 32478090 32483775 32522065
/home/lperez/instances/tsp/testing-2000//2000-203.tsp 32565249 32468745 32468745 32509757 32479173 32556860
/home/lperez/instances/tsp/testing-2000//2000-204.tsp 32568536 32477504 32477504 32492287 32476382 32484013
/home/lperez/instances/tsp/testing-2000//2000-205.tsp 32683428 32596842 32596842 32755415 32631571 32644922
/home/lperez/instances/tsp/testing-2000//2000-206.tsp 32921316 32742884 32742884 32806937 32849340 32759950
/home/lperez/instances/tsp/testing-2000//2000-207.tsp 33100995 33009329 33009329 33124868 33065478 32969050
/home/lperez/instances/tsp/testing-2000//2000-208.tsp 32473555 32425188 32425188 32400449 32449128 32355476
/home/lperez/instances/tsp/testing-2000//2000-209.tsp 32897673 32773602 32773602 32763341 32841896 32760903
/home/lperez/instances/tsp/testing-2000//2000-210.tsp 32698872 32607949 32607949 32656129 32548223 32629768
/home/lperez/instances/tsp/testing-2000//2000-211.tsp 32680723 32463660 32463660 32495565 32506021 32587536
/home/lperez/instances/tsp/testing-2000//2000-212.tsp 32653477 32540457 32540457 32712223 32663139 32652604
/home/lperez/instances/tsp/testing-2000//2000-213.tsp 32963280 33017303 33017303 32900224 32935566 32933824
/home/lperez/instances/tsp/testing-2000//2000-214.tsp 32931408 32837112 32837112 32823248 32799500 32801046
/home/lperez/instances/tsp/testing-2000//2000-215.tsp 32995395 32825409 32825409 32861327 32823511 32873513
/home/lperez/instances/tsp/testing-2000//2000-216.tsp 32660849 32504607 32504607 32493731 32494701 32483172
/home/lperez/instances/tsp/testing-2000//2000-217.tsp 32328639 32288645 32288645 32259632 32291048 32296020
/home/lperez/instances/tsp/testing-2000//2000-218.tsp 32811125 32913612 32913612 32790045 32773790 32831370
